,intolerance_1,intolerance_2,Run,Avg pct similar neighbors (A) dim 1,Avg pct similar neighbors (A) dim 2,Avg pct similar neighbors (B) dim 1,Avg pct similar neighbors (B) dim 2,Intolerance_1,Intolerance_2,Num Agents,Num Agents (A) dim 1,Num Agents (A) dim 2,Num Agents (B) dim 1,Num Agents (B) dim 2,Pct Happy,Pct Happy Group A dim 1,Pct Happy Group A dim 2,Pct Happy Group B dim 1,Pct Happy Group B dim 2,Pct group B dim 1,Pct group B dim 2,height,width,num_agents,minority_pc_1,minority_pc_2,stopping_level
0,0.125,0.125,0,100.0,58.2,43.1,39.1,0.125,0.125,200,120,120,80,80,100.0,100.0,100.0,100.0,100.0,0.4,0.4,16,16,200,0.4,0.4,1
1,0.125,0.125,1,100.0,60.2,40.5,41.7,0.125,0.125,200,120,120,80,80,100.0,100.0,100.0,100.0,100.0,0.4,0.4,16,16,200,0.4,0.4,1
2,0.125,0.125,2,100.0,58.1,44.7,39.2,0.125,0.125,200,120,120,80,80,100.0,100.0,100.0,100.0,100.0,0.4,0.4,16,16,200,0.4,0.4,1
3,0.125,0.125,3,100.0,58.1,43.2,41.8,0.125,0.125,200,120,120,80,80,100.0,100.0,100.0,100.0,100.0,0.4,0.4,16,16,200,0.4,0.4,1
4,0.125,0.125,4,100.0,59.2,38.5,38.6,0.125,0.125,200,120,120,80,80,100.0,100.0,100.0,100.0,100.0,0.4,0.4,16,16,200,0.4,0.4,1
5,0.125,0.125,5,100.0,59.1,44.4,41.8,0.125,0.125,200,120,120,80,80,100.0,100.0,100.0,100.0,100.0,0.4,0.4,16,16,200,0.4,0.4,1
6,0.125,0.125,6,100.0,63.0,40.5,44.8,0.125,0.125,200,120,120,80,80,100.0,100.0,100.0,100.0,100.0,0.4,0.4,16,16,200,0.4,0.4,1
7,0.125,0.125,7,100.0,62.9,40.4,45.7,0.125,0.125,200,120,120,80,80,100.0,100.0,100.0,100.0,100.0,0.4,0.4,16,16,200,0.4,0.4,1
8,0.125,0.125,8,100.0,62.6,42.8,47.4,0.125,0.125,200,120,120,80,80,100.0,100.0,100.0,100.0,100.0,0.4,0.4,16,16,200,0.4,0.4,1
9,0.125,0.125,9,100.0,61.0,42.3,42.1,0.125,0.125,200,120,120,80,80,100.0,100.0,100.0,100.0,100.0,0.4,0.4,16,16,200,0.4,0.4,1
10,0.125,0.25,10,100.0,68.5,45.4,56.1,0.125,0.25,200,120,120,80,80,100.0,100.0,100.0,100.0,100.0,0.4,0.4,16,16,200,0.4,0.4,1
11,0.125,0.25,11,100.0,63.8,46.5,49.2,0.125,0.25,200,120,120,80,80,100.0,100.0,100.0,100.0,100.0,0.4,0.4,16,16,200,0.4,0.4,1
12,0.125,0.25,12,100.0,68.8,41.6,54.0,0.125,0.25,200,120,120,80,80,100.0,100.0,100.0,100.0,100.0,0.4,0.4,16,16,200,0.4,0.4,1
