,Pct Happy,Pct Happy Group A dim 1,Pct Happy Group B dim 1,Pct Happy Group A dim 2,Pct Happy Group B dim 2,Avg pct similar neighbors (A) dim 1,Avg pct similar neighbors (B) dim 1,Avg pct similar neighbors (A) dim 2,Avg pct similar neighbors (B) dim 2,Num Agents,Num Agents (A) dim 1,Num Agents (B) dim 1,Num Agents (A) dim 2,Num Agents (B) dim 2,Pct group B dim 1,Intolerance_1,Pct group B dim 2,Intolerance_2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,120,80,120,80,0.4,0.75,0.4,0.75
1,1.5,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,200,120,80,120,80,0.4,0.75,0.4,0.75
2,1.5,2.5,0.0,2.5,0.0,100.0,37.7,61.0,38.9,200,120,80,120,80,0.4,0.75,0.4,0.75
3,0.0,0.0,0.0,0.0,0.0,100.0,41.6,59.8,39.9,200,120,80,120,80,0.4,0.75,0.4,0.75
4,1.0,1.7,0.0,1.7,0.0,100.0,41.3,60.0,39.3,200,120,80,120,80,0.4,0.75,0.4,0.75
5,0.5,0.8,0.0,0.8,0.0,100.0,39.8,58.2,37.3,200,120,80,120,80,0.4,0.75,0.4,0.75
6,0.5,0.8,0.0,0.8,0.0,100.0,38.3,59.4,39.2,200,120,80,120,80,0.4,0.75,0.4,0.75
7,1.5,2.5,0.0,2.5,0.0,100.0,38.5,59.6,38.7,200,120,80,120,80,0.4,0.75,0.4,0.75
8,2.0,3.3,0.0,3.3,0.0,100.0,39.4,60.3,41.4,200,120,80,120,80,0.4,0.75,0.4,0.75
9,1.0,1.7,0.0,1.7,0.0,100.0,39.0,59.2,38.8,200,120,80,120,80,0.4,0.75,0.4,0.75
10,2.0,3.3,0.0,3.3,0.0,100.0,40.7,61.4,40.6,200,120,80,120,80,0.4,0.75,0.4,0.75
11,1.0,1.7,0.0,1.7,0.0,100.0,42.1,57.3,35.6,200,120,80,120,80,0.4,0.75,0.4,0.75
12,1.0,1.7,0.0,1.7,0.0,100.0,38.7,63.4,43.4,200,120,80,120,80,0.4,0.75,0.4,0.75
13,0.5,0.8,0.0,0.8,0.0,100.0,39.7,56.4,37.7,200,120,80,120,80,0.4,0.75,0.4,0.75
14,2.0,2.5,1.2,3.3,0.0,100.0,40.7,60.7,39.1,200,120,80,120,80,0.4,0.75,0.4,0.75
15,0.5,0.8,0.0,0.8,0.0,100.0,41.3,58.1,39.9,200,120,80,120,80,0.4,0.75,0.4,0.75
16,1.0,1.7,0.0,1.7,0.0,100.0,45.5,61.1,42.5,200,120,80,120,80,0.4,0.75,0.4,0.75
17,1.0,1.7,0.0,1.7,0.0,100.0,40.2,59.3,38.2,200,120,80,120,80,0.4,0.75,0.4,0.75
18,0.5,0.8,0.0,0.8,0.0,100.0,40.6,59.6,40.4,200,120,80,120,80,0.4,0.75,0.4,0.75
19,1.0,1.7,0.0,1.7,0.0,100.0,39.6,59.5,37.1,200,120,80,120,80,0.4,0.75,0.4,0.75
20,3.0,5.0,0.0,5.0,0.0,100.0,39.3,58.4,38.8,200,120,80,120,80,0.4,0.75,0.4,0.75
21,1.5,2.5,0.0,2.5,0.0,100.0,42.1,57.2,39.8,200,120,80,120,80,0.4,0.75,0.4,0.75
22,2.5,4.2,0.0,4.2,0.0,100.0,44.1,61.4,41.6,200,120,80,120,80,0.4,0.75,0.4,0.75
23,2.0,3.3,0.0,3.3,0.0,100.0,41.5,61.0,42.6,200,120,80,120,80,0.4,0.75,0.4,0.75
24,1.5,2.5,0.0,2.5,0.0,100.0,40.0,59.8,41.3,200,120,80,120,80,0.4,0.75,0.4,0.75
25,1.0,1.7,0.0,1.7,0.0,100.0,41.5,60.8,39.9,200,120,80,120,80,0.4,0.75,0.4,0.75
26,0.5,0.8,0.0,0.0,1.2,100.0,40.1,59.9,37.0,200,120,80,120,80,0.4,0.75,0.4,0.75
