,intolerance_1,intolerance_2,minority_pc_1,minority_pc_2,Run,Avg pct similar neighbors (A) dim 1,Avg pct similar neighbors (A) dim 2,Avg pct similar neighbors (B) dim 1,Avg pct similar neighbors (B) dim 2,Pct Happy,Pct Happy Group A dim 1,Pct Happy Group A dim 2,Pct Happy Group B dim 1,Pct Happy Group B dim 2,height,width,num_agents,stopping_level
0,0.125,0.125,0.1,0.1,0,100.0,90.4,25.0,21.3,100.0,100.0,100.0,100.0,100.0,16,16,200,1
1,0.125,0.125,0.1,0.1,1,100.0,90.7,29.4,23.4,100.0,100.0,100.0,100.0,100.0,16,16,200,1
2,0.125,0.125,0.1,0.1,2,100.0,91.2,25.5,28.3,100.0,100.0,100.0,100.0,100.0,16,16,200,1
3,0.125,0.125,0.1,0.1,3,100.0,91.0,39.0,23.5,100.0,100.0,100.0,100.0,100.0,16,16,200,1
4,0.125,0.125,0.1,0.1,4,100.0,90.9,21.4,26.3,100.0,100.0,100.0,100.0,100.0,16,16,200,1
5,0.125,0.125,0.1,0.1,5,100.0,89.9,24.8,21.8,100.0,100.0,100.0,100.0,100.0,16,16,200,1
6,0.125,0.125,0.1,0.1,6,100.0,91.7,25.7,27.7,100.0,100.0,100.0,100.0,100.0,16,16,200,1
7,0.125,0.125,0.1,0.1,7,100.0,89.5,31.0,19.6,100.0,100.0,100.0,100.0,100.0,16,16,200,1
8,0.125,0.125,0.1,0.1,8,100.0,89.4,17.5,15.8,100.0,100.0,100.0,100.0,100.0,16,16,200,1
9,0.125,0.125,0.1,0.1,9,100.0,91.8,31.0,27.2,100.0,100.0,100.0,100.0,100.0,16,16,200,1
10,0.125,0.125,0.2,0.2,10,100.0,81.6,24.9,32.2,100.0,100.0,100.0,100.0,100.0,16,16,200,1
11,0.125,0.125,0.2,0.2,11,100.0,82.3,26.8,31.1,100.0,100.0,100.0,100.0,100.0,16,16,200,1
12,0.125,0.125,0.2,0.2,12,100.0,79.8,26.4,28.2,100.0,100.0,100.0,100.0,100.0,16,16,200,1
13,0.125,0.125,0.2,0.2,13,100.0,81.8,29.6,31.4,100.0,100.0,100.0,100.0,100.0,16,16,200,1
14,0.125,0.125,0.2,0.2,14,100.0,80.0,35.1,28.4,100.0,100.0,100.0,100.0,100.0,16,16,200,1
15,0.125,0.125,0.2,0.2,15,100.0,82.0,32.6,31.3,100.0,100.0,100.0,100.0,100.0,16,16,200,1
16,0.125,0.125,0.2,0.2,16,100.0,80.0,34.5,27.8,100.0,100.0,100.0,100.0,100.0,16,16,200,1
17,0.125,0.125,0.2,0.2,17,100.0,80.8,31.5,32.7,100.0,100.0,100.0,100.0,100.0,16,16,200,1
18,0.125,0.125,0.2,0.2,18,100.0,81.1,30.5,30.9,100.0,100.0,100.0,100.0,100.0,16,16,200,1
19,0.125,0.125,0.2,0.2,19,100.0,80.0,27.5,24.5,100.0,100.0,100.0,100.0,100.0,16,16,200,1
20,0.125,0.125,0.30000000000000004,0.30000000000000004,20,100.0,70.8,35.3,34.6,100.0,100.0,100.0,100.0,100.0,16,16,200,1
21,0.125,0.125,0.30000000000000004,0.30000000000000004,21,100.0,67.8,37.5,30.7,100.0,100.0,100.0,100.0,100.0,16,16,200,1
22,0.125,0.125,0.30000000000000004,0.30000000000000004,22,100.0,69.9,38.1,33.8,100.0,100.0,100.0,100.0,100.0,16,16,200,1
23,0.125,0.125,0.30000000000000004,0.30000000000000004,23,100.0,69.7,34.3,34.1,100.0,100.0,100.0,100.0,100.0,16,16,200,1
24,0.125,0.125,0.30000000000000004,0.30000000000000004,24,100.0,70.9,34.0,34.7,100.0,100.0,100.0,100.0,100.0,16,16,200,1
25,0.125,0.125,0.30000000000000004,0.30000000000000004,25,100.0,72.3,34.0,38.4,100.0,100.0,100.0,100.0,100.0,16,16,200,1
26,0.125,0.125,0.30000000000000004,0.30000000000000004,26,100.0,71.1,34.3,36.9,100.0,100.0,100.0,100.0,100.0,16,16,200,1
27,0.125,0.125,0.30000000000000004,0.30000000000000004,27,100.0,70.4,32.7,34.2,100.0,100.0,100.0,100.0,100.0,16,16,200,1
28,0.125,0.125,0.30000000000000004,0.30000000000000004,28,100.0,68.6,32.1,31.0,100.0,100.0,100.0,100.0,100.0,16,16,200,1
29,0.125,0.125,0.30000000000000004,0.30000000000000004,29,100.0,71.3,44.4,41.2,100.0,100.0,100.0,100.0,100.0,16,16,200,1
30,0.125,0.125,0.4,0.4,30,100.0,57.9,38.8,36.8,100.0,100.0,100.0,100.0,100.0,16,16,200,1
31,0.125,0.125,0.4,0.4,31,100.0,62.3,46.1,43.1,100.0,100.0,100.0,100.0,100.0,16,16,200,1
